Channel_Name,Country,Primary_Game,Secondary_Game,Subscribers,Total_Views,Video_Count,Avg_Views_Per_Video,Channel_Age_Years,Upload_Freq_Per_Week,Avg_Video_Length_Minutes,Likes_Per_Video_Avg,Comments_Per_Video_Avg,Engagement_Rate_Percent,Language,Top_Video_Views,Last_Upload_Date
TaylorTVTV,Vietnam,Battlefield,Overwatch,5316,10419246,299,34846,7,1,13,2653,487,9.01,English,1688682,25-07-2025
RileyPlaysNetwork,Russia,Sim Racing,TFT,1061,3644095,297,12269,7,1,13,736,83,6.68,English,58271,04-02-2025
RileyPlaysOfficial,Brazil,Rocket League,,5314,3377698,315,10722,6,5,9,1038,90,10.52,Japanese,68525,06-07-2025
NoahGamingNetwork,Vietnam,Grand Theft Auto V,,34921,22809735,274,83247,3,1,10,8885,1801,12.84,Filipino,2420633,10-08-2025
OliviaGamingPlays,France,Grand Theft Auto V,,2814,9246108,321,28804,7,3,2,1557,642,7.63,Spanish,1437287,07-07-2025
TaylorGamingNetwork,India,Sim Racing,Valorant,36440,81004820,306,264721,5,3,5,22776,5803,10.8,Japanese,4188887,22-07-2025
NoahTVHighlights,China,Grand Theft Auto V,,500,795976,303,2626,7,1,18,196,49,9.33,Korean,72870,03-05-2025
OliviaTVNetwork,Malaysia,Valorant,Roblox,11103,8094730,273,29651,2,4,22,1418,854,7.66,Russian,349235,26-06-2025
NoahPlaysPlays,Malaysia,Rainbow Six Siege,PUBG Mobile,3426,1840494,335,5494,6,4,6,259,97,6.48,English,150685,06-06-2025
NoahPlaysOfficial,Russia,Grand Theft Auto V,PUBG Mobile,1847,5476627,292,18755,8,2,13,1385,304,9.01,German,202586,17-07-2025
TaylorPlaysGaming,Philippines,Battlefield,,3452,1683837,321,5245,1,2,19,185,58,4.63,Indonesian,55081,01-08-2025
ChrisPlaysClips,Malaysia,PUBG Mobile,,500,583739,327,1785,4,5,9,180,13,10.81,Filipino,32588,28-05-2025
RileyGamingTV,Thailand,Sim Racing,,2097,6327753,322,19651,11,3,16,528,367,4.55,Filipino,925595,05-06-2025
RileyPlaysGaming,Canada,PUBG Mobile,Apex Legends,5278,708800,321,2208,1,3,12,65,28,4.21,German,74306,02-08-2025
EmmaTVChannel,UK,Hearthstone,,31717,10631687,329,32315,1,2,19,1752,584,7.23,Korean,641139,10-07-2025
AlexTVOfficial,Thailand,Roblox,,1300,4104058,289,14200,10,1,4,451,144,4.19,Indonesian,463719,05-06-2025
RileyTVPlays,Malaysia,Fortnite,Call of Duty,817,3366398,339,9930,12,10,5,670,257,9.34,Indonesian,114948,13-06-2025
TaylorTVPlays,Spain,Fortnite,Counter-Strike 2,1335,906614,330,2747,11,3,14,164,82,8.96,English,89547,30-07-2025
ChrisGamingHighlights,Turkey,Roblox,,12895,30630841,291,105260,8,2,13,9702,1374,10.52,German,4860066,19-04-2025
SamGamingGaming,Vietnam,Counter-Strike 2,,5044,11218081,301,37269,7,4,12,4297,971,14.14,Indonesian,1750644,28-07-2025
OliviaPlaysGaming,UK,Fighting Games,,1277,2197286,283,7764,12,3,15,740,208,12.21,German,234092,25-06-2025
RileyGamingLive,Thailand,Sim Racing,Hearthstone,6776,9740485,308,31624,10,1,6,1199,945,6.78,English,1398435,01-08-2025
OliviaGamingPlays,Japan,Overwatch,Mobile Legends,3481,606731,287,2114,1,7,4,240,28,12.68,German,43529,24-06-2025
NoahGamingPlays,China,CS:GO Classics,,14042,57193373,298,191924,11,1,9,11364,4587,8.31,Hindi,8542167,10-08-2025
LiamPlaysLive,Malaysia,Sim Racing,,969,625624,315,1986,2,3,10,133,21,7.75,English,35827,01-08-2025
ChrisPlaysTV,India,Rocket League,Mobile Legends,1764,3038265,312,9738,4,2,10,605,200,8.27,Japanese,348139,30-04-2025
AlexGamingChannel,USA,Overwatch,,1591,291226,329,885,1,2,20,42,20,7.01,Japanese,40805,11-06-2025
TaylorPlaysChannel,France,Counter-Strike 2,Dota 2,500,690645,328,2105,3,5,17,230,49,13.25,Japanese,61298,15-07-2025
JordanGamingEsports,Thailand,Apex Legends,League of Legends,4787,14731237,295,49936,8,3,15,2657,508,6.34,German,758029,21-05-2025
OliviaPlaysPlays,China,Mobile Legends,Overwatch,4526,8246562,300,27488,8,4,13,2140,720,10.4,German,975847,27-06-2025
TaylorPlaysChannel,Japan,Hearthstone,Overwatch,3005,2232545,309,7225,8,2,9,317,112,5.94,English,53555,02-06-2025
NoahPlaysGaming,Brazil,Grand Theft Auto V,Rocket League,2048,2035416,333,6112,6,7,7,609,63,10.99,Spanish,113659,01-08-2025
TaylorPlaysClips,USA,FIFA,,500,1441637,345,4178,6,2,5,407,77,11.58,English,188019,21-06-2025
TaylorTVEsports,Brazil,Apex Legends,,1520,1441442,299,4820,5,3,8,239,128,7.61,Spanish,180154,10-06-2025
EmmaTVNetwork,Pakistan,TFT,,1722,3075662,301,10218,9,7,12,900,298,11.72,Korean,47237,10-08-2025
JordanPlaysLive,Thailand,Sim Racing,Call of Duty,825,446539,310,1440,4,1,5,130,34,11.39,German,42539,07-08-2025
SamGamingClips,Vietnam,Counter-Strike 2,,2302,9509165,311,30576,10,1,13,2331,157,8.14,Korean,425439,23-06-2025
ChrisGamingChannel,Pakistan,Esports News,,5690,11883444,304,39090,12,10,11,3129,327,8.84,English,103560,30-05-2025
RileyGamingLive,Canada,Overwatch,Call of Duty,60955,145279814,291,499243,12,10,10,38664,3448,8.44,German,7405331,27-05-2025
JordanTVLive,India,CS:GO Classics,Grand Theft Auto V,3941,11182507,323,34620,12,5,19,975,260,3.57,Hindi,1355413,21-05-2025
AlexGamingChannel,Canada,Apex Legends,,4501,7724814,318,24291,7,2,2,2113,354,10.16,Filipino,517735,16-07-2025
OliviaGamingPlays,France,Mobile Legends,Fighting Games,2646,622083,314,1981,1,2,10,132,26,7.98,Filipino,29241,25-07-2025
JordanTVLive,Pakistan,Mobile Legends,Minecraft,500,1245080,309,4029,9,1,2,257,31,7.15,English,201241,15-06-2025
LiamPlaysPlays,UK,Teamfight Tactics,,2857,8330199,310,26871,7,2,13,2848,727,13.3,Spanish,797903,29-06-2025
ChrisTVGaming,Spain,Rainbow Six Siege,,3282,13741020,321,42806,10,2,17,955,872,4.27,Russian,541676,24-07-2025
AlexPlaysHighlights,Mexico,Sim Racing,Valorant,153458,753615499,323,2333174,12,0.5,4,105299,58123,7,Japanese,27390277,22-05-2025
EmmaTVTV,Spain,Fortnite,Dota 2,2191,1883286,353,5335,9,2,5,171,76,4.63,Spanish,37122,15-04-2025
ChrisGamingPlays,Malaysia,Hearthstone,Fortnite,4829,13854344,307,45128,7,2,2,1062,688,3.88,Portuguese,1415324,14-03-2025
EmmaGamingPlays,China,Sim Racing,FIFA,2819,586990,309,1899,2,3,12,90,24,6,Japanese,83948,22-06-2025
SamPlaysLive,Brazil,Roblox,Roblox,500,318377,349,912,6,2,10,108,14,13.38,Russian,39468,05-07-2025
ChrisPlaysGaming,USA,Overwatch,Sim Racing,18555,88421671,303,291820,10,7,10,13722,5912,6.73,English,13749063,26-06-2025
RileyTVOfficial,Indonesia,Mobile Legends,Esports News,9927,49880676,300,166268,12,2,10,14360,2880,10.37,German,516788,08-07-2025
EmmaGamingPlays,Germany,Sim Racing,,10568,34709875,333,104233,11,2,6,3317,2704,5.78,Japanese,3016823,19-04-2025
ChrisTVHighlights,Russia,Minecraft,FIFA,695,1233587,301,4098,4,3,19,328,112,10.74,Indonesian,188550,02-07-2025
TaylorGamingNetwork,Canada,Esports News,Fortnite,28126,41785174,307,136108,3,1,14,16121,2278,13.52,Portuguese,6154044,16-02-2025
SamPlaysLive,Canada,Mobile Legends,,500,324788,309,1051,2,2,5,51,11,5.9,German,15772,30-05-2025
RileyTVGaming,Brazil,Mobile Legends,CS:GO Classics,7623,14901636,287,51922,6,4,8,5441,1486,13.34,Indonesian,1354821,24-05-2025
TaylorTVEsports,Mexico,Call of Duty,,99183,309048009,305,1013272,8,2,7,121346,23686,14.31,German,6692491,27-06-2025
SamGamingEsports,India,Minecraft,,611,566259,304,1862,6,7,20,146,39,9.94,Spanish,28230,29-07-2025
EmmaGamingHighlights,South Korea,Apex Legends,,1204,1356734,292,4646,9,3,16,236,109,7.43,English,230511,30-04-2025
TaylorGamingHighlights,Mexico,Dota 2,Valorant,3496,6848862,309,22164,5,1,11,1936,152,9.42,Japanese,666798,28-07-2025
LiamPlaysClips,Pakistan,League of Legends,Counter-Strike 2,1332,546671,324,1687,2,2,22,176,11,11.08,Korean,84248,14-07-2025
ChrisGamingLive,Vietnam,Apex Legends,Overwatch,500,443126,334,1326,8,4,21,49,11,4.52,Spanish,3705,12-07-2025
JordanTVNetwork,Spain,Esports News,Battlefield,3326,5738197,342,16778,9,3,11,1094,145,7.38,Spanish,815832,07-08-2025
SamTVClips,Brazil,Apex Legends,,544,1149943,310,3709,10,7,10,192,57,6.71,Indonesian,70426,18-06-2025
AlexTVPlays,India,FIFA,,6359,12319988,284,43380,4,4,10,2096,387,5.72,English,259412,18-06-2025
EmmaGamingEsports,Germany,Valorant,,684,1494191,292,5117,6,1,6,542,134,13.21,Spanish,32233,05-06-2025
RileyTVChannel,China,Rainbow Six Siege,PUBG Mobile,35592,113102078,338,334621,11,1,22,20801,6509,8.16,Indonesian,6193086,07-08-2025
SamPlaysHighlights,Malaysia,Esports News,,851,4135799,322,12844,10,3,6,692,182,6.8,Japanese,317718,21-05-2025
LiamGamingGaming,Malaysia,Call of Duty,FIFA,1780,6499319,338,19228,8,1,17,1544,129,8.7,English,117158,28-04-2025
LiamPlaysNetwork,UK,Mobile Legends,,10955,27646076,318,86937,9,3,16,3646,1719,6.17,Spanish,3727341,07-08-2025
OliviaGamingHighlights,Pakistan,Hearthstone,Overwatch,500,2745335,333,8244,12,5,10,354,65,5.08,German,208800,02-05-2025
NoahTVGaming,Indonesia,Overwatch,,4289,4973891,318,15641,5,3,23,1126,368,9.55,German,305255,12-06-2025
RileyGamingHighlights,Germany,Apex Legends,Mobile Legends,24135,44511494,335,132870,12,2,3,8095,3330,8.6,Korean,3591842,18-06-2025
JordanPlaysEsports,Malaysia,Call of Duty,Dota 2,500,464115,313,1482,6,3,12,73,27,6.75,Indonesian,37646,23-06-2025
LiamPlaysChannel,Germany,Esports News,,4005,15332989,340,45097,11,1,9,1145,394,3.41,English,313522,11-06-2025
ChrisGamingPlays,Thailand,Teamfight Tactics,,4517,4977402,295,16872,4,4,18,1216,416,9.67,Korean,74338,26-06-2025
AlexTVEsports,Turkey,Battlefield,,10414,18043706,324,55690,5,4,14,5661,707,11.43,English,1925364,23-05-2025
AlexTVClips,India,Dota 2,Teamfight Tactics,500,1255569,296,4241,7,2,2,445,44,11.53,Hindi,107751,30-06-2025
RileyPlaysPlays,China,Rainbow Six Siege,CS:GO Classics,500,270203,327,826,9,1,19,35,13,5.81,Japanese,2623,21-06-2025
LiamTVClips,Thailand,League of Legends,PUBG Mobile,6871,5106377,337,15152,10,5,15,1211,425,10.8,Russian,515240,07-06-2025
ChrisPlaysChannel,South Korea,Minecraft,,4794,15277302,311,49123,11,2,6,5186,610,11.8,Japanese,1762144,14-07-2025
RileyGamingTV,UK,Counter-Strike 2,Battlefield,4450,3630291,307,11825,6,1,10,719,326,8.84,Japanese,574233,03-07-2025
EmmaTVChannel,Pakistan,Valorant,,5189,10418687,311,33500,6,7,4,3792,212,11.95,Filipino,1080082,07-04-2025
AlexPlaysLive,UK,Minecraft,,1004,2397420,297,8072,8,4,11,890,57,11.73,Korean,122702,01-08-2025
AlexPlaysChannel,Spain,Valorant,Sim Racing,4322,14908798,314,47480,11,3,13,1937,1066,6.32,Spanish,638990,12-06-2025
LiamTVEsports,China,Apex Legends,,4764,3546415,289,12271,4,2,10,563,119,5.56,Indonesian,294000,01-05-2025
SamTVChannel,USA,Rocket League,,950,963099,319,3019,3,7,9,114,38,5.03,Hindi,19423,10-07-2025
SamPlaysChannel,South Korea,Overwatch,League of Legends,58996,174799354,310,563868,7,5,2,22332,4741,4.8,German,14552117,19-07-2025
TaylorPlaysLive,India,Rocket League,Hearthstone,6362,15877390,344,46155,5,3,14,5113,614,12.41,Spanish,818640,20-06-2025
RileyGamingLive,Canada,Hearthstone,Rocket League,500,427299,317,1347,2,3,2,152,16,12.47,Korean,56350,10-05-2025
JordanPlaysEsports,USA,Roblox,Teamfight Tactics,8522,5128103,294,17442,2,1,12,439,408,4.86,Spanish,616704,12-05-2025
NoahPlaysGaming,Thailand,Grand Theft Auto V,FIFA,626,943680,314,3005,11,1,2,238,67,10.15,Filipino,43033,02-08-2025
OliviaGamingChannel,Thailand,FIFA,,10502,22473270,318,70670,6,1,12,5400,2040,10.53,Japanese,1764547,12-06-2025
JordanTVGaming,Spain,League of Legends,Fighting Games,19029,71845009,321,223816,8,1,12,13217,5172,8.22,Indonesian,8149115,24-02-2025
ChrisPlaysNetwork,Brazil,League of Legends,,801,116417,324,359,1,4,14,29,8,10.31,Japanese,3699,01-08-2025
NoahTVEsports,India,Teamfight Tactics,,13924,25302390,295,85770,11,1,17,9840,1917,13.71,Spanish,4160923,03-08-2025
ChrisGamingHighlights,Spain,Call of Duty,,5770,4052404,303,13374,6,5,18,495,362,6.41,Hindi,85624,23-06-2025
SamPlaysClips,Japan,Esports News,Sim Racing,11106,50846565,329,154548,12,3,2,4951,1917,4.44,Russian,7380714,03-07-2025
JordanPlaysChannel,France,Minecraft,,61998,28885200,314,91991,2,2,12,2146,1150,3.58,Hindi,257684,27-07-2025
JordanGamingChannel,Spain,Valorant,,2012,314729,296,1063,2,2,24,59,25,7.9,Korean,26793,15-07-2025
OliviaGamingChannel,Philippines,Battlefield,Overwatch,892,2770634,320,8658,7,2,13,465,92,6.43,Filipino,137070,05-05-2025
RileyTVGaming,France,PUBG Mobile,,718,2160837,297,7275,10,2,7,458,202,9.07,Hindi,352453,28-06-2025
SamTVHighlights,UK,TFT,Rocket League,808,160785,301,534,1,2,12,37,9,8.61,Portuguese,22997,04-07-2025
NoahPlaysOfficial,Japan,Teamfight Tactics,Fortnite,2634,3236538,297,10897,6,4,10,1043,136,10.82,Korean,493886,12-05-2025
AlexTVPlays,Thailand,Mobile Legends,Overwatch,5145,6504778,321,20264,7,3,5,1199,494,8.35,Filipino,518795,07-08-2025
SamTVNetwork,Philippines,Dota 2,TFT,4641,9466380,283,33450,8,4,17,1774,428,6.58,Filipino,236776,04-07-2025
LiamPlaysLive,Canada,League of Legends,,11198,15808007,284,55661,7,4,16,5715,1618,13.17,Korean,771659,15-04-2025
RileyPlaysLive,Thailand,Roblox,Mobile Legends,3043,5414881,283,19133,6,5,4,2008,565,13.45,Indonesian,525849,12-06-2025
RileyTVNetwork,South Korea,Sim Racing,Apex Legends,30505,109291632,335,326243,9,1,11,14118,7069,6.49,English,6743637,02-07-2025
RileyTVChannel,Pakistan,Battlefield,,1951,2069079,279,7416,3,10,9,381,58,5.92,Indonesian,131472,06-07-2025
JordanPlaysPlays,Spain,Overwatch,,231485,464720401,310,1499098,11,2,2,153674,17359,11.41,Russian,24786861,12-05-2025
SamPlaysLive,Japan,Dota 2,Overwatch,8111,14012569,315,44484,6,4,4,1242,795,4.58,Hindi,588971,23-07-2025
SamTVEsports,Turkey,Roblox,,756,1294443,316,4096,4,4,4,215,107,7.86,German,113953,14-07-2025
LiamPlaysPlays,China,TFT,TFT,537,86664,265,327,2,3,12,21,3,7.34,Portuguese,11456,11-05-2025
OliviaPlaysHighlights,USA,Mobile Legends,,6450,549757,286,1922,1,10,9,74,14,4.58,Hindi,67601,25-06-2025
EmmaTVLive,Canada,Fighting Games,,2084,7509315,313,23991,12,1,6,911,164,4.48,Indonesian,99427,30-03-2025
OliviaPlaysGaming,UK,Battlefield,Apex Legends,9343,37850564,341,110998,12,2,10,6935,1961,8.01,Indonesian,365574,10-05-2025
AlexGamingNetwork,France,Apex Legends,Esports News,6356,922483,316,2919,1,1,16,278,79,12.23,Indonesian,18060,02-08-2025
RileyGamingPlays,France,Counter-Strike 2,Hearthstone,2653,11245641,325,34601,11,1,14,3599,209,11.01,Filipino,98671,11-07-2025
JordanGamingLive,USA,League of Legends,Teamfight Tactics,769,2620894,331,7918,10,4,18,933,81,12.81,Portuguese,183220,06-07-2025
JordanPlaysPlays,Thailand,Minecraft,Dota 2,500,698220,335,2084,3,0.5,11,57,46,4.94,Japanese,9536,21-04-2025
JordanGamingHighlights,Vietnam,Grand Theft Auto V,Sim Racing,1459,735507,298,2468,4,7,22,102,63,6.69,Portuguese,56542,10-08-2025
NoahPlaysOfficial,Malaysia,Sim Racing,Teamfight Tactics,11733,9107586,326,27937,2,3,14,2672,703,12.08,Hindi,507650,23-07-2025
EmmaGamingHighlights,USA,Rocket League,Overwatch,4198,4414921,295,14965,12,2,9,1108,368,9.86,Russian,72030,28-06-2025
AlexGamingEsports,Indonesia,Fighting Games,FIFA,500,1674098,336,4982,11,2,13,262,41,6.08,Filipino,30228,17-07-2025
NoahPlaysOfficial,Philippines,CS:GO Classics,Call of Duty,3932,12904355,313,41227,11,1,5,1672,615,5.55,Korean,1610335,08-08-2025
AlexTVChannel,USA,Fortnite,,5522,13653177,309,44185,11,7,10,2122,1308,7.76,English,1624849,06-08-2025
LiamPlaysGaming,Vietnam,Valorant,,724,311361,339,918,1,4,15,57,27,9.15,Portuguese,14444,13-07-2025
EmmaPlaysGaming,China,CS:GO Classics,CS:GO Classics,3812,792389,306,2589,4,2,16,97,51,5.72,Korean,21318,15-07-2025
NoahTVClips,Brazil,Dota 2,Teamfight Tactics,3271,6504596,310,20982,7,1,10,2442,476,13.91,Japanese,400846,14-05-2025
LiamPlaysTV,Brazil,Fortnite,TFT,500,738595,311,2374,10,2,28,73,68,5.94,Hindi,59899,22-06-2025
EmmaPlaysChannel,France,Dota 2,,5284,22353001,311,71874,11,1,11,8521,1167,13.48,Indonesian,1928845,31-05-2025
JordanGamingOfficial,Russia,Valorant,,7311,3043438,292,10422,6,5,2,1085,87,11.25,Indonesian,33142,09-06-2025
AlexPlaysLive,China,Counter-Strike 2,,16863,42919668,324,132468,6,4,19,8254,2877,8.4,Russian,4086439,29-05-2025
AlexGamingHighlights,China,Fortnite,Mobile Legends,16092,75609171,316,239269,11,2,16,22486,6939,12.3,Portuguese,7715604,09-06-2025
ChrisPlaysGaming,UK,Teamfight Tactics,,500,1911553,319,5992,9,7,13,522,134,10.95,Indonesian,196905,20-04-2025
