Tournament Name,Year,Game,Genre,Organizer,Frequency,Country,Prize Pool (USD),Prize Pool (USD)_Adjusted
Counter-Strike 2 Championship 121,2023,Counter-Strike 2,FPS,Krafton,Bi-Annual,Brazil,527860.0,527860.0
Counter-Strike 2 Championship 121,2024,Counter-Strike 2,FPS,Krafton,Bi-Annual,China,625529.0,625529.0
Counter-Strike 2 Championship 121,2025,Counter-Strike 2,FPS,Krafton,Bi-Annual,Germany,720868.0,720868.0
Counter-Strike 2 Championship 125,2023,Counter-Strike 2,FPS,Krafton,Quarterly,South Korea,5316938.0,5316938.0
Counter-Strike 2 Championship 125,2024,Counter-Strike 2,FPS,Krafton,Quarterly,South Korea,5883074.0,5883074.0
Counter-Strike 2 Championship 125,2025,Counter-Strike 2,FPS,Krafton,Quarterly,South Korea,7284248.0,7284248.0
Counter-Strike 2 Championship 135,2023,Counter-Strike 2,FPS,Psyonix,Bi-Annual,Saudi Arabia,2572038.0,2572038.0
Counter-Strike 2 Championship 135,2024,Counter-Strike 2,FPS,Psyonix,Bi-Annual,Saudi Arabia,2378275.0,2378275.0
Counter-Strike 2 Championship 135,2025,Counter-Strike 2,FPS,Psyonix,Bi-Annual,Saudi Arabia,2349609.0,2349609.0
Counter-Strike 2 Championship 138,2023,Counter-Strike 2,FPS,Activision,Bi-Annual,Canada,5397484.0,5397484.0
Counter-Strike 2 Championship 138,2024,Counter-Strike 2,FPS,Activision,Bi-Annual,Canada,6596945.0,6596945.0
Counter-Strike 2 Championship 138,2025,Counter-Strike 2,FPS,Activision,Bi-Annual,Canada,8248838.0,8248838.0
Counter-Strike 2 Championship 140,2023,Counter-Strike 2,FPS,Tencent,Annual,India,1251080.0,1251080.0
Counter-Strike 2 Championship 140,2024,Counter-Strike 2,FPS,Tencent,Annual,India,1505705.0,1505705.0
Counter-Strike 2 Championship 140,2025,Counter-Strike 2,FPS,Tencent,Annual,India,1628852.0,1628852.0
Counter-Strike 2 Championship 144,2023,Counter-Strike 2,FPS,Valve,Quarterly,Germany,5660741.0,5660741.0
Counter-Strike 2 Championship 144,2024,Counter-Strike 2,FPS,Valve,Quarterly,Germany,6344654.0,6344654.0
Counter-Strike 2 Championship 144,2025,Counter-Strike 2,FPS,Valve,Quarterly,Germany,7678988.0,7678988.0
Counter-Strike 2 Championship 145,2023,Counter-Strike 2,FPS,Capcom,Quarterly,China,5730562.0,5730562.0
Counter-Strike 2 Championship 145,2024,Counter-Strike 2,FPS,Capcom,Quarterly,China,6402359.0,6402359.0
Counter-Strike 2 Championship 145,2025,Counter-Strike 2,FPS,Capcom,Quarterly,China,6515181.0,6515181.0
Counter-Strike 2 Championship 150,2023,Counter-Strike 2,FPS,Psyonix,Annual,France,245646.0,245646.0
Counter-Strike 2 Championship 150,2024,Counter-Strike 2,FPS,Psyonix,Annual,France,232428.0,232428.0
Counter-Strike 2 Championship 150,2025,Counter-Strike 2,FPS,Psyonix,Annual,France,218303.0,218303.0
Counter-Strike 2 Championship 172,2023,Counter-Strike 2,FPS,Krafton,Bi-Annual,France,5606026.0,5606026.0
Counter-Strike 2 Championship 172,2024,Counter-Strike 2,FPS,Krafton,Bi-Annual,France,6742279.0,6742279.0
Counter-Strike 2 Championship 172,2025,Counter-Strike 2,FPS,Krafton,Bi-Annual,France,7673178.0,7673178.0
Counter-Strike 2 Championship 179,2023,Counter-Strike 2,FPS,Capcom,Annual,France,2178259.0,2178259.0
Counter-Strike 2 Championship 179,2024,Counter-Strike 2,FPS,Capcom,Annual,France,2035173.0,2035173.0
Counter-Strike 2 Championship 179,2025,Counter-Strike 2,FPS,Capcom,Annual,France,2182104.0,2182104.0
Counter-Strike 2 Championship 197,2023,Counter-Strike 2,FPS,EA Sports,Annual,India,4256842.0,4256842.0
Counter-Strike 2 Championship 197,2024,Counter-Strike 2,FPS,EA Sports,Annual,India,5064377.0,5064377.0
Counter-Strike 2 Championship 197,2025,Counter-Strike 2,FPS,EA Sports,Annual,India,5831996.0,5831996.0
Counter-Strike 2 Championship 200,2023,Counter-Strike 2,FPS,Krafton,Quarterly,China,2532484.0,2532484.0
Counter-Strike 2 Championship 200,2024,Counter-Strike 2,FPS,Krafton,Quarterly,China,2327631.0,2327631.0
Counter-Strike 2 Championship 200,2025,Counter-Strike 2,FPS,Krafton,Quarterly,China,2104069.0,2104069.0
Counter-Strike 2 Championship 207,2023,Counter-Strike 2,FPS,Epic Games,Bi-Annual,South Korea,3535315.0,3535315.0
Counter-Strike 2 Championship 207,2024,Counter-Strike 2,FPS,Epic Games,Bi-Annual,South Korea,3906024.0,3906024.0
Counter-Strike 2 Championship 207,2025,Counter-Strike 2,FPS,Epic Games,Bi-Annual,South Korea,4228588.0,4228588.0
Counter-Strike 2 Championship 219,2023,Counter-Strike 2,FPS,Psyonix,Bi-Annual,India,360108.0,360108.0
Counter-Strike 2 Championship 219,2024,Counter-Strike 2,FPS,Psyonix,Bi-Annual,India,428995.0,428995.0
Counter-Strike 2 Championship 219,2025,Counter-Strike 2,FPS,Psyonix,Bi-Annual,India,458352.0,458352.0
Counter-Strike 2 Championship 223,2023,Counter-Strike 2,FPS,Krafton,Quarterly,Canada,3846215.0,3846215.0
Counter-Strike 2 Championship 223,2024,Counter-Strike 2,FPS,Krafton,Quarterly,China,3508757.0,3508757.0
Counter-Strike 2 Championship 223,2025,Counter-Strike 2,FPS,Krafton,Quarterly,Brazil,3419169.0,3419169.0
Counter-Strike 2 Championship 233,2023,Counter-Strike 2,FPS,Capcom,Bi-Annual,Saudi Arabia,420266.0,420266.0
Counter-Strike 2 Championship 233,2024,Counter-Strike 2,FPS,Capcom,Bi-Annual,Saudi Arabia,432750.0,432750.0
Counter-Strike 2 Championship 233,2025,Counter-Strike 2,FPS,Capcom,Bi-Annual,Saudi Arabia,410294.0,410294.0
Counter-Strike 2 Championship 249,2023,Counter-Strike 2,FPS,Activision,Annual,Saudi Arabia,1311476.0,1311476.0
Counter-Strike 2 Championship 249,2024,Counter-Strike 2,FPS,Activision,Annual,Saudi Arabia,1359916.0,1359916.0
Counter-Strike 2 Championship 249,2025,Counter-Strike 2,FPS,Activision,Annual,Saudi Arabia,1618613.0,1618613.0
Counter-Strike 2 Championship 253,2023,Counter-Strike 2,FPS,Krafton,Annual,Saudi Arabia,3075007.0,3075007.0
Counter-Strike 2 Championship 253,2024,Counter-Strike 2,FPS,Krafton,Annual,Saudi Arabia,3686733.0,3686733.0
Counter-Strike 2 Championship 253,2025,Counter-Strike 2,FPS,Krafton,Annual,Saudi Arabia,4178413.0,4178413.0
Counter-Strike 2 Championship 258,2023,Counter-Strike 2,FPS,EA Sports,Bi-Annual,Brazil,4964247.0,4964247.0
Counter-Strike 2 Championship 258,2024,Counter-Strike 2,FPS,EA Sports,Bi-Annual,Brazil,5657289.0,5657289.0
Counter-Strike 2 Championship 258,2025,Counter-Strike 2,FPS,EA Sports,Bi-Annual,Sweden,5955483.0,5955483.0
Counter-Strike 2 Championship 264,2023,Counter-Strike 2,FPS,Epic Games,Bi-Annual,Japan,2332126.0,2332126.0
Counter-Strike 2 Championship 264,2024,Counter-Strike 2,FPS,Epic Games,Bi-Annual,Japan,2365693.0,2365693.0
Counter-Strike 2 Championship 264,2025,Counter-Strike 2,FPS,Epic Games,Bi-Annual,Japan,2468958.0,2468958.0
Counter-Strike 2 Championship 271,2023,Counter-Strike 2,FPS,Valve,Annual,Japan,4706351.0,4706351.0
Counter-Strike 2 Championship 271,2024,Counter-Strike 2,FPS,Valve,Annual,Japan,5386938.0,5386938.0
Counter-Strike 2 Championship 271,2025,Counter-Strike 2,FPS,Valve,Annual,Japan,6027616.0,6027616.0
Counter-Strike 2 Championship 293,2023,Counter-Strike 2,FPS,Epic Games,Bi-Annual,South Korea,2385676.0,2385676.0
Counter-Strike 2 Championship 293,2024,Counter-Strike 2,FPS,Epic Games,Bi-Annual,South Korea,2487681.0,2487681.0
Counter-Strike 2 Championship 293,2025,Counter-Strike 2,FPS,Epic Games,Bi-Annual,South Korea,2683946.0,2683946.0
Counter-Strike 2 Championship 295,2023,Counter-Strike 2,FPS,EA Sports,Quarterly,India,4087113.0,4087113.0
Counter-Strike 2 Championship 295,2024,Counter-Strike 2,FPS,EA Sports,Quarterly,India,4261669.0,4261669.0
Counter-Strike 2 Championship 295,2025,Counter-Strike 2,FPS,EA Sports,Quarterly,India,4794473.0,4794473.0
Counter-Strike 2 Championship 298,2023,Counter-Strike 2,FPS,Activision,Bi-Annual,Brazil,2728014.0,2728014.0
Counter-Strike 2 Championship 298,2024,Counter-Strike 2,FPS,Activision,Bi-Annual,Brazil,2684255.0,2684255.0
Counter-Strike 2 Championship 298,2025,Counter-Strike 2,FPS,Activision,Bi-Annual,Brazil,2405998.0,2405998.0
Counter-Strike 2 Championship 299,2023,Counter-Strike 2,FPS,Tencent,Annual,China,746814.0,746814.0
Counter-Strike 2 Championship 299,2024,Counter-Strike 2,FPS,Tencent,Annual,China,815291.0,815291.0
Counter-Strike 2 Championship 299,2025,Counter-Strike 2,FPS,Tencent,Annual,China,903311.0,903311.0
Counter-Strike 2 Championship 305,2023,Counter-Strike 2,FPS,Riot Games,Annual,Japan,4713764.0,4713764.0
Counter-Strike 2 Championship 305,2024,Counter-Strike 2,FPS,Riot Games,Annual,France,5352823.0,5352823.0
Counter-Strike 2 Championship 305,2025,Counter-Strike 2,FPS,Riot Games,Annual,United States,6321090.0,6321090.0
Counter-Strike 2 Championship 319,2023,Counter-Strike 2,FPS,Krafton,Annual,Canada,1683409.0,1683409.0
Counter-Strike 2 Championship 319,2024,Counter-Strike 2,FPS,Krafton,Annual,Canada,1805841.0,1805841.0
Counter-Strike 2 Championship 319,2025,Counter-Strike 2,FPS,Krafton,Annual,Canada,1922446.0,1922446.0
Counter-Strike 2 Championship 326,2023,Counter-Strike 2,FPS,Riot Games,Bi-Annual,United States,1155314.0,1155314.0
Counter-Strike 2 Championship 326,2024,Counter-Strike 2,FPS,Riot Games,Bi-Annual,United States,1111279.0,1111279.0
Counter-Strike 2 Championship 326,2025,Counter-Strike 2,FPS,Riot Games,Bi-Annual,United States,1347597.0,1347597.0
Counter-Strike 2 Championship 329,2023,Counter-Strike 2,FPS,Activision,Annual,United States,1881830.0,1881830.0
Counter-Strike 2 Championship 329,2024,Counter-Strike 2,FPS,Activision,Annual,United States,1859762.0,1859762.0
Counter-Strike 2 Championship 329,2025,Counter-Strike 2,FPS,Activision,Annual,United States,1829250.0,1829250.0
Counter-Strike 2 Championship 342,2023,Counter-Strike 2,FPS,Krafton,Bi-Annual,Japan,3283781.0,3283781.0
Counter-Strike 2 Championship 342,2024,Counter-Strike 2,FPS,Krafton,Bi-Annual,Canada,3473918.0,3473918.0
Counter-Strike 2 Championship 342,2025,Counter-Strike 2,FPS,Krafton,Bi-Annual,Germany,3885297.0,3885297.0
Counter-Strike 2 Championship 350,2023,Counter-Strike 2,FPS,EA Sports,Quarterly,Canada,4638779.0,4638779.0
Counter-Strike 2 Championship 350,2024,Counter-Strike 2,FPS,EA Sports,Quarterly,Canada,4379950.0,4379950.0
Counter-Strike 2 Championship 350,2025,Counter-Strike 2,FPS,EA Sports,Quarterly,Canada,3508358.0,3508358.0
Counter-Strike 2 Championship 377,2023,Counter-Strike 2,FPS,Ubisoft,Quarterly,South Korea,2354203.0,2354203.0
Counter-Strike 2 Championship 377,2024,Counter-Strike 2,FPS,Ubisoft,Quarterly,South Korea,2553374.0,2553374.0
Counter-Strike 2 Championship 377,2025,Counter-Strike 2,FPS,Ubisoft,Quarterly,South Korea,2720486.0,2720486.0
Counter-Strike 2 Championship 410,2023,Counter-Strike 2,FPS,Krafton,Bi-Annual,France,4488604.0,4488604.0
Counter-Strike 2 Championship 410,2024,Counter-Strike 2,FPS,Krafton,Bi-Annual,Germany,4966555.0,4966555.0
Counter-Strike 2 Championship 410,2025,Counter-Strike 2,FPS,Krafton,Bi-Annual,China,5237528.0,5237528.0
Counter-Strike 2 Championship 429,2023,Counter-Strike 2,FPS,Psyonix,Quarterly,China,300794.0,300794.0
Counter-Strike 2 Championship 429,2024,Counter-Strike 2,FPS,Psyonix,Quarterly,China,310769.0,310769.0
Counter-Strike 2 Championship 429,2025,Counter-Strike 2,FPS,Psyonix,Quarterly,China,337214.0,337214.0
Counter-Strike 2 Championship 436,2023,Counter-Strike 2,FPS,Epic Games,Bi-Annual,Brazil,1185432.0,1185432.0
Counter-Strike 2 Championship 436,2024,Counter-Strike 2,FPS,Epic Games,Bi-Annual,Japan,1287686.0,1287686.0
Counter-Strike 2 Championship 436,2025,Counter-Strike 2,FPS,Epic Games,Bi-Annual,Canada,1639754.0,1639754.0
Counter-Strike 2 Championship 449,2023,Counter-Strike 2,FPS,EA Sports,Annual,India,4263682.0,4263682.0
Counter-Strike 2 Championship 449,2024,Counter-Strike 2,FPS,EA Sports,Annual,India,4292983.0,4292983.0
Counter-Strike 2 Championship 449,2025,Counter-Strike 2,FPS,EA Sports,Annual,India,4244337.0,4244337.0
Counter-Strike 2 Championship 461,2023,Counter-Strike 2,FPS,Krafton,Bi-Annual,Germany,1653755.0,1653755.0
Counter-Strike 2 Championship 461,2024,Counter-Strike 2,FPS,Krafton,Bi-Annual,Germany,1779368.0,1779368.0
Counter-Strike 2 Championship 461,2025,Counter-Strike 2,FPS,Krafton,Bi-Annual,Germany,2088628.0,2088628.0
Counter-Strike 2 Championship 464,2023,Counter-Strike 2,FPS,Riot Games,Bi-Annual,France,2410941.0,2410941.0
Counter-Strike 2 Championship 464,2024,Counter-Strike 2,FPS,Riot Games,Bi-Annual,United States,3071530.0,3071530.0
Counter-Strike 2 Championship 464,2025,Counter-Strike 2,FPS,Riot Games,Bi-Annual,Brazil,3304555.0,3304555.0
Counter-Strike 2 Championship 472,2023,Counter-Strike 2,FPS,Tencent,Bi-Annual,Japan,6119644.0,6119644.0
Counter-Strike 2 Championship 472,2024,Counter-Strike 2,FPS,Tencent,Bi-Annual,Japan,6848263.0,6848263.0
Counter-Strike 2 Championship 472,2025,Counter-Strike 2,FPS,Tencent,Bi-Annual,Japan,8020719.0,8020719.0
Counter-Strike 2 Championship 478,2023,Counter-Strike 2,FPS,Capcom,Annual,Saudi Arabia,2616773.0,2616773.0
Counter-Strike 2 Championship 478,2024,Counter-Strike 2,FPS,Capcom,Annual,Saudi Arabia,2915586.0,2915586.0
Counter-Strike 2 Championship 478,2025,Counter-Strike 2,FPS,Capcom,Annual,Saudi Arabia,2706287.0,2706287.0
Counter-Strike 2 Championship 479,2023,Counter-Strike 2,FPS,Psyonix,Bi-Annual,Saudi Arabia,4080359.0,4080359.0
Counter-Strike 2 Championship 479,2024,Counter-Strike 2,FPS,Psyonix,Bi-Annual,Saudi Arabia,4821177.0,4821177.0
Counter-Strike 2 Championship 479,2025,Counter-Strike 2,FPS,Psyonix,Bi-Annual,Saudi Arabia,5129672.0,5129672.0
Counter-Strike 2 Championship 492,2023,Counter-Strike 2,FPS,Valve,Quarterly,France,4023052.0,4023052.0
Counter-Strike 2 Championship 492,2024,Counter-Strike 2,FPS,Valve,Quarterly,France,3917665.0,3917665.0
Counter-Strike 2 Championship 492,2025,Counter-Strike 2,FPS,Valve,Quarterly,France,4448664.0,4448664.0
Counter-Strike 2 Championship 508,2023,Counter-Strike 2,FPS,Ubisoft,Annual,France,2420320.0,2420320.0
Counter-Strike 2 Championship 508,2024,Counter-Strike 2,FPS,Ubisoft,Annual,France,2766545.0,2766545.0
Counter-Strike 2 Championship 508,2025,Counter-Strike 2,FPS,Ubisoft,Annual,France,2970706.0,2970706.0
Counter-Strike 2 Championship 517,2023,Counter-Strike 2,FPS,Activision,Annual,India,720322.0,720322.0
Counter-Strike 2 Championship 517,2024,Counter-Strike 2,FPS,Activision,Annual,India,789132.0,789132.0
Counter-Strike 2 Championship 517,2025,Counter-Strike 2,FPS,Activision,Annual,India,944798.0,944798.0
Counter-Strike 2 Championship 523,2023,Counter-Strike 2,FPS,Epic Games,Annual,Canada,2878172.0,2878172.0
Counter-Strike 2 Championship 523,2024,Counter-Strike 2,FPS,Epic Games,Annual,Canada,3102083.0,3102083.0
Counter-Strike 2 Championship 523,2025,Counter-Strike 2,FPS,Epic Games,Annual,Canada,3773602.0,3773602.0
Counter-Strike 2 Championship 554,2023,Counter-Strike 2,FPS,EA Sports,Annual,Japan,4118733.0,4118733.0
Counter-Strike 2 Championship 554,2024,Counter-Strike 2,FPS,EA Sports,Annual,Japan,4262647.0,4262647.0
Counter-Strike 2 Championship 554,2025,Counter-Strike 2,FPS,EA Sports,Annual,Japan,4844752.0,4844752.0
Counter-Strike 2 Championship 559,2023,Counter-Strike 2,FPS,Capcom,Annual,Saudi Arabia,773260.0,773260.0
Counter-Strike 2 Championship 559,2024,Counter-Strike 2,FPS,Capcom,Annual,Saudi Arabia,835827.0,835827.0
Counter-Strike 2 Championship 559,2025,Counter-Strike 2,FPS,Capcom,Annual,Saudi Arabia,889438.0,889438.0
Counter-Strike 2 Championship 561,2023,Counter-Strike 2,FPS,Epic Games,Annual,Germany,3595219.0,3595219.0
Counter-Strike 2 Championship 561,2024,Counter-Strike 2,FPS,Epic Games,Annual,Germany,4481873.0,4481873.0
Counter-Strike 2 Championship 561,2025,Counter-Strike 2,FPS,Epic Games,Annual,Germany,4231605.0,4231605.0
Counter-Strike 2 Championship 567,2023,Counter-Strike 2,FPS,Tencent,Annual,China,3157600.0,3157600.0
Counter-Strike 2 Championship 567,2024,Counter-Strike 2,FPS,Tencent,Annual,China,3598145.0,3598145.0
Counter-Strike 2 Championship 567,2025,Counter-Strike 2,FPS,Tencent,Annual,China,4251780.0,4251780.0
Counter-Strike 2 Championship 574,2023,Counter-Strike 2,FPS,Epic Games,Bi-Annual,Canada,5344138.0,5344138.0
Counter-Strike 2 Championship 574,2024,Counter-Strike 2,FPS,Epic Games,Bi-Annual,Canada,5619355.0,5619355.0
Counter-Strike 2 Championship 574,2025,Counter-Strike 2,FPS,Epic Games,Bi-Annual,Canada,6377059.0,6377059.0
Counter-Strike 2 Championship 590,2023,Counter-Strike 2,FPS,Epic Games,Quarterly,Saudi Arabia,4127064.0,4127064.0
Counter-Strike 2 Championship 590,2024,Counter-Strike 2,FPS,Epic Games,Quarterly,Saudi Arabia,3836112.0,3836112.0
Counter-Strike 2 Championship 590,2025,Counter-Strike 2,FPS,Epic Games,Quarterly,Saudi Arabia,4089080.0,4089080.0
Counter-Strike 2 Championship 599,2023,Counter-Strike 2,FPS,Ubisoft,Quarterly,South Korea,595885.0,595885.0
Counter-Strike 2 Championship 599,2024,Counter-Strike 2,FPS,Ubisoft,Quarterly,South Korea,670972.0,670972.0
Counter-Strike 2 Championship 599,2025,Counter-Strike 2,FPS,Ubisoft,Quarterly,South Korea,681679.0,681679.0
Counter-Strike 2 Championship 604,2023,Counter-Strike 2,FPS,Psyonix,Annual,India,4776197.0,4776197.0
Counter-Strike 2 Championship 604,2024,Counter-Strike 2,FPS,Psyonix,Annual,India,5318045.0,5318045.0
Counter-Strike 2 Championship 604,2025,Counter-Strike 2,FPS,Psyonix,Annual,India,5334906.0,5334906.0
Counter-Strike 2 Championship 612,2023,Counter-Strike 2,FPS,Valve,Annual,France,5625598.0,5625598.0
Counter-Strike 2 Championship 612,2024,Counter-Strike 2,FPS,Valve,Annual,Sweden,6358302.0,6358302.0
Counter-Strike 2 Championship 612,2025,Counter-Strike 2,FPS,Valve,Annual,Sweden,7729701.0,7729701.0
Counter-Strike 2 Championship 619,2023,Counter-Strike 2,FPS,Psyonix,Quarterly,Canada,4495856.0,4495856.0
Counter-Strike 2 Championship 619,2024,Counter-Strike 2,FPS,Psyonix,Quarterly,China,4933669.0,4933669.0
Counter-Strike 2 Championship 619,2025,Counter-Strike 2,FPS,Psyonix,Quarterly,France,5580719.0,5580719.0
Counter-Strike 2 Championship 641,2023,Counter-Strike 2,FPS,Krafton,Annual,Canada,3842028.0,3842028.0
Counter-Strike 2 Championship 641,2024,Counter-Strike 2,FPS,Krafton,Annual,Canada,3649426.0,3649426.0
Counter-Strike 2 Championship 641,2025,Counter-Strike 2,FPS,Krafton,Annual,Canada,4014924.0,4014924.0
Counter-Strike 2 Championship 646,2023,Counter-Strike 2,FPS,Capcom,Annual,South Korea,700300.0,700300.0
Counter-Strike 2 Championship 646,2024,Counter-Strike 2,FPS,Capcom,Annual,South Korea,842964.0,842964.0
Counter-Strike 2 Championship 646,2025,Counter-Strike 2,FPS,Capcom,Annual,South Korea,991084.0,991084.0
Counter-Strike 2 Championship 648,2023,Counter-Strike 2,FPS,Krafton,Annual,France,4648573.0,4648573.0
Counter-Strike 2 Championship 648,2024,Counter-Strike 2,FPS,Krafton,Annual,France,5138944.0,5138944.0
Counter-Strike 2 Championship 648,2025,Counter-Strike 2,FPS,Krafton,Annual,France,4291474.0,4291474.0
Counter-Strike 2 Championship 649,2023,Counter-Strike 2,FPS,Activision,Annual,United States,3319159.0,3319159.0
Counter-Strike 2 Championship 649,2024,Counter-Strike 2,FPS,Activision,Annual,United States,3583783.0,3583783.0
Counter-Strike 2 Championship 649,2025,Counter-Strike 2,FPS,Activision,Annual,United States,3503379.0,3503379.0
Counter-Strike 2 Championship 669,2023,Counter-Strike 2,FPS,Riot Games,Quarterly,France,3574449.0,3574449.0
Counter-Strike 2 Championship 669,2024,Counter-Strike 2,FPS,Riot Games,Quarterly,Canada,3956432.0,3956432.0
Counter-Strike 2 Championship 669,2025,Counter-Strike 2,FPS,Riot Games,Quarterly,Germany,4559862.0,4559862.0
Counter-Strike 2 Championship 671,2023,Counter-Strike 2,FPS,Psyonix,Bi-Annual,China,5901235.0,5901235.0
Counter-Strike 2 Championship 671,2024,Counter-Strike 2,FPS,Psyonix,Bi-Annual,China,6472555.0,6472555.0
Counter-Strike 2 Championship 671,2025,Counter-Strike 2,FPS,Psyonix,Bi-Annual,China,7667837.0,7667837.0
Counter-Strike 2 Championship 698,2023,Counter-Strike 2,FPS,Riot Games,Quarterly,United States,2658402.0,2658402.0
Counter-Strike 2 Championship 698,2024,Counter-Strike 2,FPS,Riot Games,Quarterly,United States,2154101.0,2154101.0
Counter-Strike 2 Championship 698,2025,Counter-Strike 2,FPS,Riot Games,Quarterly,United States,1944426.0,1944426.0
Dota 2 Championship 120,2023,Dota 2,MOBA,Activision,Quarterly,France,3802927.0,3802927.0
Dota 2 Championship 120,2024,Dota 2,MOBA,Activision,Quarterly,France,3743532.0,3743532.0
Dota 2 Championship 120,2025,Dota 2,MOBA,Activision,Quarterly,France,4236190.0,4236190.0
Dota 2 Championship 128,2023,Dota 2,MOBA,Activision,Annual,United States,3171974.0,3171974.0
Dota 2 Championship 128,2024,Dota 2,MOBA,Activision,Annual,United States,3734339.0,3734339.0
Dota 2 Championship 128,2025,Dota 2,MOBA,Activision,Annual,United States,4212741.0,4212741.0
Dota 2 Championship 166,2023,Dota 2,MOBA,Krafton,Annual,Japan,1215838.0,1215838.0
Dota 2 Championship 166,2024,Dota 2,MOBA,Krafton,Annual,Japan,1171781.0,1171781.0
Dota 2 Championship 166,2025,Dota 2,MOBA,Krafton,Annual,Japan,1135868.0,1135868.0
Dota 2 Championship 170,2023,Dota 2,MOBA,Epic Games,Bi-Annual,China,2175084.0,2175084.0
Dota 2 Championship 170,2024,Dota 2,MOBA,Epic Games,Bi-Annual,China,2543500.0,2543500.0
Dota 2 Championship 170,2025,Dota 2,MOBA,Epic Games,Bi-Annual,China,3036913.0,3036913.0
Dota 2 Championship 175,2023,Dota 2,MOBA,Capcom,Bi-Annual,Saudi Arabia,4074357.0,4074357.0
Dota 2 Championship 175,2024,Dota 2,MOBA,Capcom,Bi-Annual,Saudi Arabia,3637036.0,3637036.0
Dota 2 Championship 175,2025,Dota 2,MOBA,Capcom,Bi-Annual,Saudi Arabia,3061966.0,3061966.0
Dota 2 Championship 181,2023,Dota 2,MOBA,Tencent,Quarterly,Canada,3625765.0,3625765.0
Dota 2 Championship 181,2024,Dota 2,MOBA,Tencent,Quarterly,France,4050457.0,4050457.0
Dota 2 Championship 181,2025,Dota 2,MOBA,Tencent,Quarterly,Canada,4911392.0,4911392.0
Dota 2 Championship 187,2023,Dota 2,MOBA,Valve,Bi-Annual,United States,1313650.0,1313650.0
Dota 2 Championship 187,2024,Dota 2,MOBA,Valve,Bi-Annual,United States,1340753.0,1340753.0
Dota 2 Championship 187,2025,Dota 2,MOBA,Valve,Bi-Annual,United States,1515531.0,1515531.0
Dota 2 Championship 217,2023,Dota 2,MOBA,Krafton,Quarterly,Germany,4365535.0,4365535.0
Dota 2 Championship 217,2024,Dota 2,MOBA,Krafton,Quarterly,Germany,4730330.0,4730330.0
Dota 2 Championship 217,2025,Dota 2,MOBA,Krafton,Quarterly,Germany,5420808.0,5420808.0
Dota 2 Championship 225,2023,Dota 2,MOBA,Psyonix,Quarterly,South Korea,2559580.0,2559580.0
Dota 2 Championship 225,2024,Dota 2,MOBA,Psyonix,Quarterly,South Korea,2252924.0,2252924.0
Dota 2 Championship 225,2025,Dota 2,MOBA,Psyonix,Quarterly,South Korea,2484586.0,2484586.0
Dota 2 Championship 245,2023,Dota 2,MOBA,Tencent,Annual,Canada,2444518.0,2444518.0
Dota 2 Championship 245,2024,Dota 2,MOBA,Tencent,Annual,Canada,2748671.0,2748671.0
