Tournament Name,Year,Game,Genre,Organizer,Frequency,HostCountry,Prize Pool (USD)
Counter-Strike 2 Championship 207,2023,Counter-Strike 2,FPS,Epic Games,Bi-Annual,South Korea,3535315
Counter-Strike 2 Championship 207,2024,Counter-Strike 2,FPS,Epic Games,Bi-Annual,South Korea,3906024
Counter-Strike 2 Championship 207,2025,Counter-Strike 2,FPS,Epic Games,Bi-Annual,South Korea,4228588
Counter-Strike 2 Championship 219,2023,Counter-Strike 2,FPS,Psyonix,Bi-Annual,India,360108
Counter-Strike 2 Championship 219,2024,Counter-Strike 2,FPS,Psyonix,Bi-Annual,India,428995
Counter-Strike 2 Championship 219,2025,Counter-Strike 2,FPS,Psyonix,Bi-Annual,India,458352
Counter-Strike 2 Championship 223,2023,Counter-Strike 2,FPS,Krafton,Quarterly,Canada,3846215
Counter-Strike 2 Championship 223,2024,Counter-Strike 2,FPS,Krafton,Quarterly,China,3508757
Counter-Strike 2 Championship 223,2025,Counter-Strike 2,FPS,Krafton,Quarterly,Brazil,3419169
Counter-Strike 2 Championship 233,2023,Counter-Strike 2,FPS,Capcom,Bi-Annual,Saudi Arabia,420266
Counter-Strike 2 Championship 233,2024,Counter-Strike 2,FPS,Capcom,Bi-Annual,Saudi Arabia,432750
Counter-Strike 2 Championship 233,2025,Counter-Strike 2,FPS,Capcom,Bi-Annual,Saudi Arabia,410294
Counter-Strike 2 Championship 249,2023,Counter-Strike 2,FPS,Activision,Annual,Saudi Arabia,1311476
Counter-Strike 2 Championship 249,2024,Counter-Strike 2,FPS,Activision,Annual,Saudi Arabia,1359916
Counter-Strike 2 Championship 249,2025,Counter-Strike 2,FPS,Activision,Annual,Saudi Arabia,1618613
Counter-Strike 2 Championship 253,2023,Counter-Strike 2,FPS,Krafton,Annual,Saudi Arabia,3075007
Counter-Strike 2 Championship 253,2024,Counter-Strike 2,FPS,Krafton,Annual,Saudi Arabia,3686733
Counter-Strike 2 Championship 253,2025,Counter-Strike 2,FPS,Krafton,Annual,Saudi Arabia,4178413
Counter-Strike 2 Championship 258,2023,Counter-Strike 2,FPS,EA Sports,Bi-Annual,Brazil,4964247
Counter-Strike 2 Championship 258,2024,Counter-Strike 2,FPS,EA Sports,Bi-Annual,Brazil,5657289
Counter-Strike 2 Championship 258,2025,Counter-Strike 2,FPS,EA Sports,Bi-Annual,Sweden,5955483
Counter-Strike 2 Championship 264,2023,Counter-Strike 2,FPS,Epic Games,Bi-Annual,Japan,2332126
Counter-Strike 2 Championship 264,2024,Counter-Strike 2,FPS,Epic Games,Bi-Annual,Japan,2365693
Counter-Strike 2 Championship 264,2025,Counter-Strike 2,FPS,Epic Games,Bi-Annual,Japan,2468958
Counter-Strike 2 Championship 271,2023,Counter-Strike 2,FPS,Valve,Annual,Japan,4706351
Counter-Strike 2 Championship 271,2024,Counter-Strike 2,FPS,Valve,Annual,Japan,5386938
Counter-Strike 2 Championship 271,2025,Counter-Strike 2,FPS,Valve,Annual,Japan,6027616
Counter-Strike 2 Championship 293,2023,Counter-Strike 2,FPS,Epic Games,Bi-Annual,South Korea,2385676
Counter-Strike 2 Championship 293,2024,Counter-Strike 2,FPS,Epic Games,Bi-Annual,South Korea,2487681
Counter-Strike 2 Championship 293,2025,Counter-Strike 2,FPS,Epic Games,Bi-Annual,South Korea,2683946
Counter-Strike 2 Championship 295,2023,Counter-Strike 2,FPS,EA Sports,Quarterly,India,4087113
Counter-Strike 2 Championship 295,2024,Counter-Strike 2,FPS,EA Sports,Quarterly,India,4261669
Counter-Strike 2 Championship 295,2025,Counter-Strike 2,FPS,EA Sports,Quarterly,India,4794473
Counter-Strike 2 Championship 298,2023,Counter-Strike 2,FPS,Activision,Bi-Annual,Brazil,2728014
Counter-Strike 2 Championship 298,2024,Counter-Strike 2,FPS,Activision,Bi-Annual,Brazil,2684255
Counter-Strike 2 Championship 298,2025,Counter-Strike 2,FPS,Activision,Bi-Annual,Brazil,2405998
Counter-Strike 2 Championship 299,2023,Counter-Strike 2,FPS,Tencent,Annual,China,746814
Counter-Strike 2 Championship 299,2024,Counter-Strike 2,FPS,Tencent,Annual,China,815291
Counter-Strike 2 Championship 299,2025,Counter-Strike 2,FPS,Tencent,Annual,China,903311
Counter-Strike 2 Championship 305,2023,Counter-Strike 2,FPS,Riot Games,Annual,Japan,4713764
Counter-Strike 2 Championship 305,2024,Counter-Strike 2,FPS,Riot Games,Annual,France,5352823
Counter-Strike 2 Championship 305,2025,Counter-Strike 2,FPS,Riot Games,Annual,United States,6321090
Counter-Strike 2 Championship 319,2023,Counter-Strike 2,FPS,Krafton,Annual,Canada,1683409
Counter-Strike 2 Championship 319,2024,Counter-Strike 2,FPS,Krafton,Annual,Canada,1805841
Counter-Strike 2 Championship 319,2025,Counter-Strike 2,FPS,Krafton,Annual,Canada,1922446
Counter-Strike 2 Championship 326,2023,Counter-Strike 2,FPS,Riot Games,Bi-Annual,United States,1155314
Counter-Strike 2 Championship 326,2024,Counter-Strike 2,FPS,Riot Games,Bi-Annual,United States,1111279
Counter-Strike 2 Championship 326,2025,Counter-Strike 2,FPS,Riot Games,Bi-Annual,United States,1347597
Counter-Strike 2 Championship 329,2023,Counter-Strike 2,FPS,Activision,Annual,United States,1881830
Counter-Strike 2 Championship 329,2024,Counter-Strike 2,FPS,Activision,Annual,United States,1859762
Counter-Strike 2 Championship 329,2025,Counter-Strike 2,FPS,Activision,Annual,United States,1829250
Counter-Strike 2 Championship 342,2023,Counter-Strike 2,FPS,Krafton,Bi-Annual,Japan,3283781
Counter-Strike 2 Championship 342,2024,Counter-Strike 2,FPS,Krafton,Bi-Annual,Canada,3473918
Counter-Strike 2 Championship 342,2025,Counter-Strike 2,FPS,Krafton,Bi-Annual,Germany,3885297
Counter-Strike 2 Championship 350,2023,Counter-Strike 2,FPS,EA Sports,Quarterly,Canada,4638779
Counter-Strike 2 Championship 350,2024,Counter-Strike 2,FPS,EA Sports,Quarterly,Canada,4379950
Counter-Strike 2 Championship 350,2025,Counter-Strike 2,FPS,EA Sports,Quarterly,Canada,3508358
Counter-Strike 2 Championship 377,2023,Counter-Strike 2,FPS,Ubisoft,Quarterly,South Korea,2354203
Counter-Strike 2 Championship 377,2024,Counter-Strike 2,FPS,Ubisoft,Quarterly,South Korea,2553374
Counter-Strike 2 Championship 377,2025,Counter-Strike 2,FPS,Ubisoft,Quarterly,South Korea,2720486
Counter-Strike 2 Championship 410,2023,Counter-Strike 2,FPS,Krafton,Bi-Annual,France,4488604
Counter-Strike 2 Championship 410,2024,Counter-Strike 2,FPS,Krafton,Bi-Annual,Germany,4966555
Counter-Strike 2 Championship 410,2025,Counter-Strike 2,FPS,Krafton,Bi-Annual,China,5237528
Counter-Strike 2 Championship 429,2023,Counter-Strike 2,FPS,Psyonix,Quarterly,China,300794
Counter-Strike 2 Championship 429,2024,Counter-Strike 2,FPS,Psyonix,Quarterly,China,310769
Counter-Strike 2 Championship 429,2025,Counter-Strike 2,FPS,Psyonix,Quarterly,China,337214
Counter-Strike 2 Championship 436,2023,Counter-Strike 2,FPS,Epic Games,Bi-Annual,Brazil,1185432
Counter-Strike 2 Championship 436,2024,Counter-Strike 2,FPS,Epic Games,Bi-Annual,Japan,1287686
Counter-Strike 2 Championship 436,2025,Counter-Strike 2,FPS,Epic Games,Bi-Annual,Canada,1639754
Counter-Strike 2 Championship 449,2023,Counter-Strike 2,FPS,EA Sports,Annual,India,4263682
Counter-Strike 2 Championship 449,2024,Counter-Strike 2,FPS,EA Sports,Annual,India,4292983
Counter-Strike 2 Championship 449,2025,Counter-Strike 2,FPS,EA Sports,Annual,India,4244337
Counter-Strike 2 Championship 461,2023,Counter-Strike 2,FPS,Krafton,Bi-Annual,Germany,1653755
Counter-Strike 2 Championship 461,2024,Counter-Strike 2,FPS,Krafton,Bi-Annual,Germany,1779368
Counter-Strike 2 Championship 461,2025,Counter-Strike 2,FPS,Krafton,Bi-Annual,Germany,2088628
Counter-Strike 2 Championship 464,2023,Counter-Strike 2,FPS,Riot Games,Bi-Annual,France,2410941
Counter-Strike 2 Championship 464,2024,Counter-Strike 2,FPS,Riot Games,Bi-Annual,United States,3071530
Counter-Strike 2 Championship 464,2025,Counter-Strike 2,FPS,Riot Games,Bi-Annual,Brazil,3304555
Counter-Strike 2 Championship 472,2023,Counter-Strike 2,FPS,Tencent,Bi-Annual,Japan,6119644
Counter-Strike 2 Championship 472,2024,Counter-Strike 2,FPS,Tencent,Bi-Annual,Japan,6848263
Counter-Strike 2 Championship 472,2025,Counter-Strike 2,FPS,Tencent,Bi-Annual,Japan,8020719
Counter-Strike 2 Championship 478,2023,Counter-Strike 2,FPS,Capcom,Annual,Saudi Arabia,2616773
Counter-Strike 2 Championship 478,2024,Counter-Strike 2,FPS,Capcom,Annual,Saudi Arabia,2915586
Counter-Strike 2 Championship 478,2025,Counter-Strike 2,FPS,Capcom,Annual,Saudi Arabia,2706287
Counter-Strike 2 Championship 479,2023,Counter-Strike 2,FPS,Psyonix,Bi-Annual,Saudi Arabia,4080359
Counter-Strike 2 Championship 479,2024,Counter-Strike 2,FPS,Psyonix,Bi-Annual,Saudi Arabia,4821177
Counter-Strike 2 Championship 479,2025,Counter-Strike 2,FPS,Psyonix,Bi-Annual,Saudi Arabia,5129672
Counter-Strike 2 Championship 492,2023,Counter-Strike 2,FPS,Valve,Quarterly,France,4023052
Counter-Strike 2 Championship 492,2024,Counter-Strike 2,FPS,Valve,Quarterly,France,3917665
Counter-Strike 2 Championship 492,2025,Counter-Strike 2,FPS,Valve,Quarterly,France,4448664
Counter-Strike 2 Championship 508,2023,Counter-Strike 2,FPS,Ubisoft,Annual,France,2420320
Counter-Strike 2 Championship 508,2024,Counter-Strike 2,FPS,Ubisoft,Annual,France,2766545
Counter-Strike 2 Championship 508,2025,Counter-Strike 2,FPS,Ubisoft,Annual,France,2970706
Counter-Strike 2 Championship 517,2023,Counter-Strike 2,FPS,Activision,Annual,India,720322
Counter-Strike 2 Championship 517,2024,Counter-Strike 2,FPS,Activision,Annual,India,789132
Counter-Strike 2 Championship 517,2025,Counter-Strike 2,FPS,Activision,Annual,India,944798
Counter-Strike 2 Championship 523,2023,Counter-Strike 2,FPS,Epic Games,Annual,Canada,2878172
Counter-Strike 2 Championship 523,2024,Counter-Strike 2,FPS,Epic Games,Annual,Canada,3102083
Counter-Strike 2 Championship 523,2025,Counter-Strike 2,FPS,Epic Games,Annual,Canada,3773602
Counter-Strike 2 Championship 554,2023,Counter-Strike 2,FPS,EA Sports,Annual,Japan,4118733
Counter-Strike 2 Championship 554,2024,Counter-Strike 2,FPS,EA Sports,Annual,Japan,4262647
Counter-Strike 2 Championship 554,2025,Counter-Strike 2,FPS,EA Sports,Annual,Japan,4844752
Counter-Strike 2 Championship 559,2023,Counter-Strike 2,FPS,Capcom,Annual,Saudi Arabia,773260
Counter-Strike 2 Championship 559,2024,Counter-Strike 2,FPS,Capcom,Annual,Saudi Arabia,835827
Counter-Strike 2 Championship 559,2025,Counter-Strike 2,FPS,Capcom,Annual,Saudi Arabia,889438
Counter-Strike 2 Championship 561,2023,Counter-Strike 2,FPS,Epic Games,Annual,Germany,3595219
Counter-Strike 2 Championship 561,2024,Counter-Strike 2,FPS,Epic Games,Annual,Germany,4481873
Counter-Strike 2 Championship 561,2025,Counter-Strike 2,FPS,Epic Games,Annual,Germany,4231605
Counter-Strike 2 Championship 567,2023,Counter-Strike 2,FPS,Tencent,Annual,China,3157600
Counter-Strike 2 Championship 567,2024,Counter-Strike 2,FPS,Tencent,Annual,China,3598145
Counter-Strike 2 Championship 567,2025,Counter-Strike 2,FPS,Tencent,Annual,China,4251780
Counter-Strike 2 Championship 574,2023,Counter-Strike 2,FPS,Epic Games,Bi-Annual,Canada,5344138
Counter-Strike 2 Championship 574,2024,Counter-Strike 2,FPS,Epic Games,Bi-Annual,Canada,5619355
Counter-Strike 2 Championship 574,2025,Counter-Strike 2,FPS,Epic Games,Bi-Annual,Canada,6377059
Counter-Strike 2 Championship 590,2023,Counter-Strike 2,FPS,Epic Games,Quarterly,Saudi Arabia,4127064
Counter-Strike 2 Championship 590,2024,Counter-Strike 2,FPS,Epic Games,Quarterly,Saudi Arabia,3836112
Counter-Strike 2 Championship 590,2025,Counter-Strike 2,FPS,Epic Games,Quarterly,Saudi Arabia,4089080
Counter-Strike 2 Championship 599,2023,Counter-Strike 2,FPS,Ubisoft,Quarterly,South Korea,595885
Counter-Strike 2 Championship 599,2024,Counter-Strike 2,FPS,Ubisoft,Quarterly,South Korea,670972
Counter-Strike 2 Championship 599,2025,Counter-Strike 2,FPS,Ubisoft,Quarterly,South Korea,681679
Counter-Strike 2 Championship 604,2023,Counter-Strike 2,FPS,Psyonix,Annual,India,4776197
Counter-Strike 2 Championship 604,2024,Counter-Strike 2,FPS,Psyonix,Annual,India,5318045
Counter-Strike 2 Championship 604,2025,Counter-Strike 2,FPS,Psyonix,Annual,India,5334906
Counter-Strike 2 Championship 612,2023,Counter-Strike 2,FPS,Valve,Annual,France,5625598
Counter-Strike 2 Championship 612,2024,Counter-Strike 2,FPS,Valve,Annual,Sweden,6358302
Counter-Strike 2 Championship 612,2025,Counter-Strike 2,FPS,Valve,Annual,Sweden,7729701
Counter-Strike 2 Championship 619,2023,Counter-Strike 2,FPS,Psyonix,Quarterly,Canada,4495856
Counter-Strike 2 Championship 619,2024,Counter-Strike 2,FPS,Psyonix,Quarterly,China,4933669
Counter-Strike 2 Championship 619,2025,Counter-Strike 2,FPS,Psyonix,Quarterly,France,5580719
Counter-Strike 2 Championship 641,2023,Counter-Strike 2,FPS,Krafton,Annual,Canada,3842028
Counter-Strike 2 Championship 641,2024,Counter-Strike 2,FPS,Krafton,Annual,Canada,3649426
Counter-Strike 2 Championship 641,2025,Counter-Strike 2,FPS,Krafton,Annual,Canada,4014924
Counter-Strike 2 Championship 646,2023,Counter-Strike 2,FPS,Capcom,Annual,South Korea,700300
Counter-Strike 2 Championship 646,2024,Counter-Strike 2,FPS,Capcom,Annual,South Korea,842964
Counter-Strike 2 Championship 646,2025,Counter-Strike 2,FPS,Capcom,Annual,South Korea,991084
Counter-Strike 2 Championship 648,2023,Counter-Strike 2,FPS,Krafton,Annual,France,4648573
Counter-Strike 2 Championship 648,2024,Counter-Strike 2,FPS,Krafton,Annual,France,5138944
Counter-Strike 2 Championship 648,2025,Counter-Strike 2,FPS,Krafton,Annual,France,4291474
Counter-Strike 2 Championship 649,2023,Counter-Strike 2,FPS,Activision,Annual,United States,3319159
Counter-Strike 2 Championship 649,2024,Counter-Strike 2,FPS,Activision,Annual,United States,3583783
Counter-Strike 2 Championship 649,2025,Counter-Strike 2,FPS,Activision,Annual,United States,3503379
Counter-Strike 2 Championship 669,2023,Counter-Strike 2,FPS,Riot Games,Quarterly,France,3574449
Counter-Strike 2 Championship 669,2024,Counter-Strike 2,FPS,Riot Games,Quarterly,Canada,3956432
Counter-Strike 2 Championship 669,2025,Counter-Strike 2,FPS,Riot Games,Quarterly,Germany,4559862
Counter-Strike 2 Championship 671,2023,Counter-Strike 2,FPS,Psyonix,Bi-Annual,China,5901235
Counter-Strike 2 Championship 671,2024,Counter-Strike 2,FPS,Psyonix,Bi-Annual,China,6472555
Counter-Strike 2 Championship 671,2025,Counter-Strike 2,FPS,Psyonix,Bi-Annual,China,7667837
Counter-Strike 2 Championship 698,2023,Counter-Strike 2,FPS,Riot Games,Quarterly,United States,2658402
Counter-Strike 2 Championship 698,2024,Counter-Strike 2,FPS,Riot Games,Quarterly,United States,2154101
Counter-Strike 2 Championship 698,2025,Counter-Strike 2,FPS,Riot Games,Quarterly,United States,1944426
Dota 2 Championship 120,2023,Dota 2,MOBA,Activision,Quarterly,France,3802927
Dota 2 Championship 120,2024,Dota 2,MOBA,Activision,Quarterly,France,3743532
Dota 2 Championship 120,2025,Dota 2,MOBA,Activision,Quarterly,France,4236190
Dota 2 Championship 128,2023,Dota 2,MOBA,Activision,Annual,United States,3171974
Dota 2 Championship 128,2024,Dota 2,MOBA,Activision,Annual,United States,3734339
Dota 2 Championship 128,2025,Dota 2,MOBA,Activision,Annual,United States,4212741
Dota 2 Championship 166,2023,Dota 2,MOBA,Krafton,Annual,Japan,1215838
Dota 2 Championship 166,2024,Dota 2,MOBA,Krafton,Annual,Japan,1171781
Dota 2 Championship 166,2025,Dota 2,MOBA,Krafton,Annual,Japan,1135868
Dota 2 Championship 170,2023,Dota 2,MOBA,Epic Games,Bi-Annual,China,2175084
Dota 2 Championship 170,2024,Dota 2,MOBA,Epic Games,Bi-Annual,China,2543500
Dota 2 Championship 170,2025,Dota 2,MOBA,Epic Games,Bi-Annual,China,3036913
Dota 2 Championship 175,2023,Dota 2,MOBA,Capcom,Bi-Annual,Saudi Arabia,4074357
Dota 2 Championship 175,2024,Dota 2,MOBA,Capcom,Bi-Annual,Saudi Arabia,3637036
Dota 2 Championship 175,2025,Dota 2,MOBA,Capcom,Bi-Annual,Saudi Arabia,3061966
Dota 2 Championship 181,2023,Dota 2,MOBA,Tencent,Quarterly,Canada,3625765
Dota 2 Championship 181,2024,Dota 2,MOBA,Tencent,Quarterly,France,4050457
Dota 2 Championship 181,2025,Dota 2,MOBA,Tencent,Quarterly,Canada,4911392
Dota 2 Championship 187,2023,Dota 2,MOBA,Valve,Bi-Annual,United States,1313650
Dota 2 Championship 187,2024,Dota 2,MOBA,Valve,Bi-Annual,United States,1340753
Dota 2 Championship 187,2025,Dota 2,MOBA,Valve,Bi-Annual,United States,1515531
Dota 2 Championship 217,2023,Dota 2,MOBA,Krafton,Quarterly,Germany,4365535
Dota 2 Championship 217,2024,Dota 2,MOBA,Krafton,Quarterly,Germany,4730330
Dota 2 Championship 217,2025,Dota 2,MOBA,Krafton,Quarterly,Germany,5420808
Dota 2 Championship 225,2023,Dota 2,MOBA,Psyonix,Quarterly,South Korea,2559580
Dota 2 Championship 225,2024,Dota 2,MOBA,Psyonix,Quarterly,South Korea,2252924
Dota 2 Championship 225,2025,Dota 2,MOBA,Psyonix,Quarterly,South Korea,2484586
Dota 2 Championship 245,2023,Dota 2,MOBA,Tencent,Annual,Canada,2444518
Dota 2 Championship 245,2024,Dota 2,MOBA,Tencent,Annual,Canada,2748671
Dota 2 Championship 245,2025,Dota 2,MOBA,Tencent,Annual,Canada,3146848
Dota 2 Championship 252,2023,Dota 2,MOBA,Riot Games,Bi-Annual,India,1633895
Dota 2 Championship 252,2024,Dota 2,MOBA,Riot Games,Bi-Annual,India,1504488
Dota 2 Championship 252,2025,Dota 2,MOBA,Riot Games,Bi-Annual,India,1711674
Dota 2 Championship 266,2023,Dota 2,MOBA,Activision,Bi-Annual,United States,197770
Dota 2 Championship 266,2024,Dota 2,MOBA,Activision,Bi-Annual,United States,249350
Dota 2 Championship 266,2025,Dota 2,MOBA,Activision,Bi-Annual,United States,270503
Dota 2 Championship 267,2023,Dota 2,MOBA,Tencent,Bi-Annual,India,1015694
Dota 2 Championship 267,2024,Dota 2,MOBA,Tencent,Bi-Annual,India,1073506
Dota 2 Championship 267,2025,Dota 2,MOBA,Tencent,Bi-Annual,India,1374537
Dota 2 Championship 283,2023,Dota 2,MOBA,Tencent,Bi-Annual,China,4057723
Dota 2 Championship 283,2024,Dota 2,MOBA,Tencent,Bi-Annual,Germany,4827357
Dota 2 Championship 283,2025,Dota 2,MOBA,Tencent,Bi-Annual,Brazil,6006290
Dota 2 Championship 292,2023,Dota 2,MOBA,Activision,Quarterly,South Korea,2534554
Dota 2 Championship 292,2024,Dota 2,MOBA,Activision,Quarterly,South Korea,2719761
Dota 2 Championship 292,2025,Dota 2,MOBA,Activision,Quarterly,South Korea,3210349
Dota 2 Championship 300,2023,Dota 2,MOBA,Riot Games,Bi-Annual,Canada,2506820
Dota 2 Championship 300,2024,Dota 2,MOBA,Riot Games,Bi-Annual,Canada,3054357
Dota 2 Championship 300,2025,Dota 2,MOBA,Riot Games,Bi-Annual,Canada,3506520
Dota 2 Championship 301,2023,Dota 2,MOBA,Activision,Annual,India,301697
Dota 2 Championship 301,2024,Dota 2,MOBA,Activision,Annual,India,319202
Dota 2 Championship 301,2025,Dota 2,MOBA,Activision,Annual,India,352262
Dota 2 Championship 332,2023,Dota 2,MOBA,EA Sports,Quarterly,Canada,5885863
Dota 2 Championship 332,2024,Dota 2,MOBA,EA Sports,Quarterly,Canada,6959203
Dota 2 Championship 332,2025,Dota 2,MOBA,EA Sports,Quarterly,Canada,8271425
Dota 2 Championship 337,2023,Dota 2,MOBA,Epic Games,Quarterly,Germany,3051249
Dota 2 Championship 337,2024,Dota 2,MOBA,Epic Games,Quarterly,Germany,3570090
Dota 2 Championship 337,2025,Dota 2,MOBA,Epic Games,Quarterly,Germany,3845241
Dota 2 Championship 340,2023,Dota 2,MOBA,Riot Games,Quarterly,France,4838582
Dota 2 Championship 340,2024,Dota 2,MOBA,Riot Games,Quarterly,France,5463331
Dota 2 Championship 340,2025,Dota 2,MOBA,Riot Games,Quarterly,France,6402008
Dota 2 Championship 344,2023,Dota 2,MOBA,Tencent,Bi-Annual,China,3149069
Dota 2 Championship 344,2024,Dota 2,MOBA,Tencent,Bi-Annual,China,3755788
Dota 2 Championship 344,2025,Dota 2,MOBA,Tencent,Bi-Annual,China,4123505
Dota 2 Championship 356,2023,Dota 2,MOBA,Activision,Annual,Canada,4214743
Dota 2 Championship 356,2024,Dota 2,MOBA,Activision,Annual,Canada,4145273
Dota 2 Championship 356,2025,Dota 2,MOBA,Activision,Annual,Canada,4829949
Dota 2 Championship 365,2023,Dota 2,MOBA,Epic Games,Quarterly,Germany,5345573
Dota 2 Championship 365,2024,Dota 2,MOBA,Epic Games,Quarterly,Germany,6507394
Dota 2 Championship 365,2025,Dota 2,MOBA,Epic Games,Quarterly,Germany,7520040
Dota 2 Championship 390,2023,Dota 2,MOBA,Riot Games,Quarterly,Brazil,4318604
Dota 2 Championship 390,2024,Dota 2,MOBA,Riot Games,Quarterly,Brazil,4634602
